artist,text
Король и шут,"я затушил свечу и стал ждать чего не знаю
всё что я представлял увидал
стучатся еле слышно в мою дверь
какой таинственной казалась мне та ночь
и в самом деле
я подошёл к окну всмотрелся в темноту
блуждают тени возле дома разных сказочных зверей
стучатся еле слышно в мою дверь мою дверь
в тишине вдруг представилось мне
стекло протёр и улыбнулся
исчезнут и возникнут снова"
Король и шут,"но сердце от любви горит
но пришлось как в старой сказке
царящий в нём покой
иногда у них
лёгкий был испуг
я часто вижу страх
уснуть в моих стенах
страждущий герой
вот несёт одна
в свой прекрасный дом
и развлекались мы потом
вот стоит другая
я своих фантазий
от прикосновений
к нежной шее крепких рук
в смотрящих на меня глазах
до смерти рассмешить
покой везде царит
все образы со мной
я пытался их
я их приводил
прекрасен вид
их вином поил
просто задушить
и восковых фигур
а любви моей живой
моя душа болит
застыть в моих мирах
мне свои цветы
душу мучает порой
дремлет за горой
погружённая в мечты
мрачный замок мой"
Король и шут,"здесь бывает весь высший свет
кто еще не бывал в заведении модном
но даже намека на счастье нет в душе цирюльника убийцы
говоря по простому здесь любят пожрать
кто их пробовал может забыть о диете
ловетт обожает весь
деньги текут рекой кровавой рекой
вся элита и вся королевская рать
джентльмены из
никто не уходит отсюда голодным
нищету да звериную грубость дяди счастлива почти счастлива
приезжают и знатные лорды и снобы…
и особо известные всюду особы…
их готовит наверно какой то француз…
сити и милые леди
ловетт видевшая только голод
необычный пикантный изысканный вкус
это знает весь"
Король и шут,"на отрока напали
что за наваждение
в жизни артист веселым был
в подвале кто то рявкнул
но в тишине ночной
топоры и вилы
дико бушевали
глотки драли
люди не любили
проклятыми были
бешено в деревню
в свете фонарей
сильно напугали
женщины визжали
солнце трупы
зомби всю ночь кричали
всюду выползали
что есть мочи
и крестьяне
мы анархисты народ не злой
землю разрывали
трупов вел он за собой
без предупреждения
долго танцевать
мертвые ворвались
ночью по лесу бродил
дрались и по полной отрывались
был на руке застывший
всё вокруг ломали
ржали людям вслед
все они водку пили
рожи показались
не хватило силы
среди ублюдков шел артист
из кармана торчал пиратский флаг
и нажраться он всегда любил
он волшебный эликсир
в панике бежали
снова оживали
на кладбище разлил
рвали свою плоть
гадов хоронили
трупов не убить
ослепший старый маг
смеялись и толкались
трупы дохли
парнишку заставляли
и лишь проговорил
что ж я старый натворил
трупы оживали
утро крестьянам помогло
потому что здесь
мертвый анархист
за полчаса сожгло
в кожаном плаще
шли дома громить
мертвецов загнать в свои могилы"
Король и шут,"вот такое дело »
быть хочу всегда с тобой
помешался вскоре
вижу пред собой я как в бреду
неземную красоту
и под мутною водой
в дом к себе его отнёс
чтоб я не глядела
каждой ночью лунной
верь мне верь мне верь мне верь
фред от горя
ноги отнялись
помер с голоду бы
славно смотримся вдвоём
приносить ему еду
называть судьбою
если б не его сосед
будто он живой
от любви безумной
и зачем то вот вопрос
спрятал эти кости
стал свою находку
представлять тебя живой
живы будем не помрём
а жена и говорит; «
пред скелетом
стоит твоя жизнь моих потерь
плотью обрастала
в платье девичьем скелет
мёртвая вставала
а потом и вовсе
посылал жену
с ним общается дурной
утром беды начались
фред колодец свой"
Король и шут,"на лугу его пасла
в детстве цыганка мне одна
и тогда всё началось
и в итоге наконец
но на беду любовь моя обречена
быть страдающим ослом
силой я наделена
и мой любимый навсегда
но ничем не помогла
не специально но со зла
ведьма я эх ведьма я
я старалась как могла
он приблизил свой конец
и несчастный стал стонать
серой шерстью обрастать
и жалела я осла
как страдает милый мой
и внезапно над собой
лишь понял он что обречён
что измены не прощу
жить остался у меня
до заката своих дней
и хвостом своим вертел
он ходил и тут и там
потеряла я контроль
и за мною по пятам
такая вот нелёгкая судьба моя
он копытками стучал
если сильно полюблю
я всё хотела как нибудь
то любимого сгублю
предсказание сбылось
человеком быть хотел
облик милого вернуть
он очень милым парнем был
и бедняга околел
по ослиному кричал
под опекою моей
замечала я порой
и жестоко отомщу
что то выпил что то съел
превращу его в осла
предсказала будто я
но зачем он изменил"
Король и шут,"и никогда не увидим мы вас
выстрел печальный не дрогнул прицел
ваша жизнь словно грустный романс
трёх офицеров вели на расстрел
что вас тревожит подруга сейчас
неужто вы вспомнили снова о нас
как вы могли поступить так мадам
до одного всех поставят к стене
принёсший нам много ненужных проблем
яма глубокая ждёт во дворе
завтра последний выход у нас
но умирая один прохрипел
поклонников лучших лишилась она
товарищей верных продать палачам
арест после пятой бутылки вина
предательски красив ваш силуэт
с ними и наших под револьвер
финал её танца запомнился всем
танцуйте ка
вас завербовали и вы потеряли друзей
прекрасен менуэт"
Король и шут,"замученный дорогой
будь как дома путник
коль желаешь расскажу
что нет среди животных
старик заулыбался
подкармливать волков
и волки среди ночи
я выбился из сил
с улыбкой добродушной
что нравится ему
я ни в чём не откажу
и в доме лесника я
старик меня пустил
лесник сидел напротив
завыли под окном
болтал о том о сём
на ужин пригласил
с ружьем на перевес
друзья хотят покушать
пойдём приятель в лес
сидел я за столом
у старика врагов
но вскоре возвратился
и вдруг покинул дом
множество историй
на улице темнело
и жестом дружелюбным
ночлега попросил"
Король и шут,"в детстве цыганка мне одна
и тогда всё началось
и в итоге наконец
но на беду любовь моя обречена
быть страдающим ослом
силой я наделена
и мой любимый навсегда
но ничем не помогла
не специально но со зла
ведьма я эх ведьма я
я старалась как могла
он приблизил свой конец
и несчастный стал стонать
серой шерстью обрастать
и жалела я осла
как страдает милый мой
и внезапно над собой
лишь понял он что обречён
что измены не прощу
жить остался у меня
до заката своих дней
и хвостом своим вертел
он ходил и тут и там
потеряла я контроль
такая вот нелегкая судьба моя
и за мною по пятам
он копытами стучал
если сильно полюблю
я всё хотела как нибудь
то любимого сгублю
на лугу его посла
предсказание сбылось
человеком быть хотел
облик милого вернуть
он очень милым парнем был
и бедняга околел
по ослиному кричал
под опекою моей
замечала я порой
и жестоко отомщу
что то выпил что то съел
превращу его в осла
предсказала будто я
но зачем он изменил"
Король и шут,"что это слово значит
и сверху дно
кругом темно
и ночью беззвездно
тут лишь судья
поставит точку
и не вернуть
когда как воду вновь и вновь
когда все в жизни решено
и снизу дно
конечно каждый виноват
счастье счастье
и в этом суть
и прокурор и адвокат
но где он мой демон
ты проливаешь чью то кровь
неуловим  2 раза
в твоей душе   2 раза
конечно должен кто нибудь
и даже днем
но не уснуть
не светит солнце
их отправлять в последний путь
мечтать о счастье так смешно
нам так нужна удача
жену и дочку
в твое окно"
